"","term","gene"
"1","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ACAT2"
"2","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ACP1"
"3","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ACP2"
"4","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ADA"
"5","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ADD3"
"6","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ADRA2A"
"7","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ADSL"
"8","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","AFP"
"9","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","AHCYL1"
"10","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","AKR1B1"
"11","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ALG6"
"12","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ANAPC5"
"13","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ANKRD10"
"14","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","AOF1"
"15","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","AP3B1"
"16","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","APEX1"
"17","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","APPBP2"
"18","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","APRIN"
"19","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","AQP1"
"20","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","AQP4"
"21","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ARF6"
"22","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ARHGAP5"
"23","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ASCL2"
"24","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ASF1B"
"25","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ATBF1"
"26","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ATP5J"
"27","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","AURKB"
"28","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","AXIN2"
"29","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","BCAS2"
"30","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","BCL7C"
"31","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","BCOR"
"32","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","BIRC5"
"33","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","BRCA1"
"34","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","BRCA2"
"35","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","BTF3,"
"36","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","BUB1"
"37","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","BUB1B"
"38","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C10ORF86"
