term,gene
AbSC_Pos_Bala_2023,Ly6a
AbSC_Pos_Bala_2023,S100a6
AbSC_Pos_Bala_2023,Wfdc18
AbSC_Pos_Bala_2023,Clu
AbSC_Pos_Bala_2023,Ifitm3
AbSC_Pos_Bala_2023,Ifitm1
AbSC_Pos_Bala_2023,Ly6d
AbSC_Pos_Bala_2023,Lcn2
AbSC_Pos_Bala_2023,Ly6e
AbSC_Pos_Bala_2023,S100a11
AbSC_Pos_Bala_2023,Ier3
AbSC_Pos_Bala_2023,Tmsb10
AbSC_Pos_Bala_2023,Cyba
AbSC_Pos_Bala_2023,Marcksl1
AbSC_Pos_Bala_2023,Mmp7
AbSC_Pos_Bala_2023,Isg15
AbSC_Pos_Bala_2023,Igfbp4
AbSC_Pos_Bala_2023,Cldn4
AbSC_Pos_Bala_2023,Fxyd3
AbSC_Pos_Bala_2023,Cd9
AbSC_Pos_Bala_2023,Ecscr
AbSC_Pos_Bala_2023,Aspscr1
AbSC_Pos_Bala_2023,Phlda1
AbSC_Pos_Bala_2023,Bst2
AbSC_Pos_Bala_2023,Nkd1
AbSC_Pos_Bala_2023,H2-Q7
AbSC_Pos_Bala_2023,Bex1
AbSC_Pos_Bala_2023,Stat1
AbSC_Pos_Bala_2023,Mif
AbSC_Pos_Bala_2023,Tubb5
AbSC_Pos_Bala_2023,Krt7
AbSC_Pos_Bala_2023,Pglyrp1
AbSC_Pos_Bala_2023,Cebpd
AbSC_Pos_Bala_2023,Ifitm2
AbSC_Pos_Bala_2023,H2-Eb1
AbSC_Pos_Bala_2023,Sox4
AbSC_Pos_Bala_2023,Rbm3
AbSC_Pos_Bala_2023,2210407C18Rik
AbSC_Pos_Bala_2023,S100a14
AbSC_Pos_Bala_2023,Cd74
AbSC_Pos_Bala_2023,Ctsl
AbSC_Pos_Bala_2023,Scd2
AbSC_Pos_Bala_2023,Psmb8
AbSC_Pos_Bala_2023,Hmgn1
AbSC_Pos_Bala_2023,H2-D1
AbSC_Pos_Bala_2023,Msx1
AbSC_Pos_Bala_2023,Blvrb
AbSC_Pos_Bala_2023,Nfkbia
AbSC_Pos_Bala_2023,Myl12a
AbSC_Pos_Bala_2023,Tceal9
AbSC_Pos_Bala_2023,Pla2g12a
AbSC_Pos_Bala_2023,Tnfrsf12a
