rawname,motif,human_gene
Arnt,MA0004.1,ARNT
Ahr::Arnt,MA0006.1,ARNT
Ahr::Arnt,MA0006.1,AHR
Ddit3::Cebpa,MA0019.1,DDIT3
Ddit3::Cebpa,MA0019.1,CEBPA
Mecom,MA0029.1,MECOM
FOXF2,MA0030.1,FOXF2
FOXD1,MA0031.1,FOXD1
Foxq1,MA0040.1,FOXQ1
Foxd3,MA0041.1,FOXD3
IRF2,MA0051.1,IRF2
MZF1(var.2),MA0057.1,MZF1
MAX::MYC,MA0059.1,MAX
MAX::MYC,MA0059.1,MYC
PPARG,MA0066.1,PPARG
Pax2,MA0067.1,PAX2
PAX6,MA0069.1,PAX6
PBX1,MA0070.1,PBX1
RORA,MA0071.1,RORA
RORA(var.2),MA0072.1,RORA
RREB1,MA0073.1,RREB1
RXRA::VDR,MA0074.1,RXRA
RXRA::VDR,MA0074.1,VDR
SOX9,MA0077.1,SOX9
Sox17,MA0078.1,SOX17
SRY,MA0084.1,SRY
Sox5,MA0087.1,SOX5
TAL1::TCF3,MA0091.1,TAL1
TAL1::TCF3,MA0091.1,TCF3
Hand1::Tcf3,MA0092.1,HAND1
Hand1::Tcf3,MA0092.1,TCF3
REL,MA0101.1,REL
RELA,MA0107.1,RELA
TBP,MA0108.2,TBP
HLTF,MA0109.1,HLTF
Spz1,MA0111.1,SPZ1
NR1H2::RXRA,MA0115.1,NR1H2
NR1H2::RXRA,MA0115.1,RXRA
Znf423,MA0116.1,ZNF423
NFIC::TLX1,MA0119.1,NFIC
NFIC::TLX1,MA0119.1,TLX1
Nobox,MA0125.1,NOBOX
ZNF354C,MA0130.1,ZNF354C
Lhx3,MA0135.1,LHX3
CTCF,MA0139.1,CTCF
Pou5f1::Sox2,MA0142.1,POU5F1
Pou5f1::Sox2,MA0142.1,SOX2
EWSR1-FLI1,MA0149.1,EWSR1
EWSR1-FLI1,MA0149.1,FLI1
REST,MA0138.2,REST
RUNX1,MA0002.2,RUNX1
Pparg::Rxra,MA0065.2,PPARG
Pparg::Rxra,MA0065.2,RXRA
Arid3a,MA0151.1,ARID3A
NFATC2,MA0152.1,NFATC2
INSM1,MA0155.1,INSM1
RARA::RXRA,MA0159.1,RARA
RARA::RXRA,MA0159.1,RXRA
NR4A2,MA0160.1,NR4A2
PLAG1,MA0163.1,PLAG1
Nr2e3,MA0164.1,NR2E3
ARNT::HIF1A,MA0259.1,ARNT
ARNT::HIF1A,MA0259.1,HIF1A
Zfx,MA0146.2,ZFX
Crx,MA0467.1,CRX
DUX4,MA0468.1,DUX4
FOS,MA0476.1,FOS
FOSL2,MA0478.1,FOSL2
FOXH1,MA0479.1,FOXH1
Foxo1,MA0480.1,FOXO1
Gfi1b,MA0483.1,GFI1B
JUN,MA0488.1,JUN
JUN(var.2),MA0489.1,JUN
JUND(var.2),MA0492.1,JUND
Klf1,MA0493.1,KLF1
Nr1h3::Rxra,MA0494.1,NR1H3
Nr1h3::Rxra,MA0494.1,RXRA
MEF2C,MA0497.1,MEF2C
MAF::NFE2,MA0501.1,MAF
MAF::NFE2,MA0501.1,NFE2
Nkx2-5(var.2),MA0503.1,NKX2-5
NR2C2,MA0504.1,NR2C2
Nr5a2,MA0505.1,NR5A2
NRF1,MA0506.1,NRF1
POU2F2,MA0507.1,POU2F2
SMAD2::SMAD3::SMAD4,MA0513.1,SMAD2
SMAD2::SMAD3::SMAD4,MA0513.1,SMAD3
