sgRNA,Gene,Day3.bulk.no1,Day9.bulk.no1,Day9.CD11b.low.no1,Day9.CD11b.high.no1,Day3.bulk.no2,Day9.bulk.no2,Day9.CD11b.low.no2,Day9.CD11b.high.no2
sgRNA_4608,NCOR1,237.005692,308.8810352,448.1337342,241.488736,149.2124103,382.2636736,226.3291001,301.0833238
sgRNA_4277,CHD1L,564.1571257,815.1911857,708.108753,603.2445895,385.5018577,773.362409,589.0486623,674.5048487
sgRNA_4457,PHF8,221.4839086,355.0539735,357.6451917,287.3047807,153.1505677,323.9522658,417.0780797,387.1071305
sgRNA_3976,RFTN1,436.9979006,636.8681139,790.6975021,885.7768656,241.540324,711.5169765,737.2991646,477.0411104
sgRNA_3159,MED7,185.6644086,206.982137,364.108659,866.6868469,127.7713308,221.465549,316.2677382,375.3766114
sgRNA_440,ING1,149.2479169,207.7782221,191.0313674,230.0347248,123.8331733,257.9838044,101.7986782,140.7662293
sgRNA_3590,RING1,306.2567254,580.3460688,531.4406463,542.1565298,227.9755594,485.9283987,694.8006873,318.6791024
sgRNA_3284,RBM12,238.796667,238.0294576,369.1358002,251.0337453,157.0887252,303.3371216,258.9442106,64.51785509
sgRNA_4104,SETMAR,49.5503084,60.50247082,72.53446659,37.22553638,32.8179788,79.51555615,42.49847731,43.01190339
sgRNA_2938,PRDM14,379.0897088,376.5482723,366.2631481,380.8458722,199.5333111,514.2005964,319.2327482,248.2959878
sgRNA_2459,SMUG1,306.8537171,433.8664026,542.2130918,606.1080923,182.9055352,448.8211391,545.5618483,631.4929453
sgRNA_2717,PCGF3,279.989092,355.8500586,332.5094854,396.1178871,151.8378486,244.4367096,405.2180395,201.3739113
sgRNA_4960,ACO1,146.2629585,97.91847251,118.4969009,66.81506529,97.14121725,124.2798692,211.5040499,29.32629777
sgRNA_159,SAFB2,241.7816253,274.6493741,355.4907026,334.0753264,175.0292203,338.6773688,298.4776779,187.6883057
sgRNA_211,SIRT5,369.5378421,399.6347415,750.4803721,466.7509561,245.0409084,544.2398065,491.2033308,348.0054002
sgRNA_3553,HDAC11,168.9486419,281.8141404,249.2025733,373.2098647,134.7724996,262.6958373,143.3088188,170.0925271
sgRNA_1639,NCBP2,463.8625256,650.4015613,932.8937831,528.7935167,304.1132702,633.7684327,1003.161732,604.121734
sgRNA_618,KDM6B,148.6509252,134.5383891,191.0313674,255.80625,99.32908251,207.3294501,190.7489796,48.87716295
