"","x"
"1","Xkr4"
"2","Gm1992"
"3","Gm37381"
"4","Rp1"
"5","Rp1.1"
"6","Sox17"
"7","Gm37323"
"8","Mrpl15"
"9","Lypla1"
"10","Gm37988"
"11","Tcea1"
"12","Rgs20"
"13","Gm16041"
"14","Atp6v1h"
"15","Oprk1"
"16","Npbwr1"
"17","Rb1cc1"
"18","4732440D04Rik"
"19","Fam150a"
"20","St18"
"21","Pcmtd1"
"22","Gm26901"
"23","Gm30414"
"24","Sntg1"
"25","Rrs1"
"26","Adhfe1"
"27","3110035E14Rik"
"28","Gm29520"
"29","Mybl1"
"30","Vcpip1"
"31","1700034P13Rik"
"32","Sgk3"
"33","Mcmdc2"
"34","Snhg6"
"35","Tcf24"
"36","Ppp1r42"
"37","Gm15818"
"38","Cops5"
"39","Cspp1"
"40","Arfgef1"
"41","Cpa6"
"42","Prex2"
"43","A830018L16Rik"
"44","Gm17644"
"45","Gm29663"
"46","Sulf1"
"47","Slco5a1"
"48","Gm29283"
"49","Prdm14"
"50","Ncoa2"
"51","Gm29570"
"52","Tram1"
"53","Lactb2"
"54","Xkr9"
"55","Eya1"
"56","Gm9947"
"57","Msc"
"58","Trpa1"
"59","Kcnb2"
"60","Terf1"
"61","Sbspon"
"62","4930444P10Rik"
"63","Rpl7"
"64","Rdh10"
"65","Gm28095"
"66","Stau2"
"67","Gm7568"
"68","Ube2w"
"69","Tceb1"
"70","D030040B21Rik"
"71","Tmem70"
"72","Ly96"
"73","Gm28376"
"74","Jph1"
"75","Gm28783"
"76","Gdap1"
"77","Gm28784"
"78","Pi15"
"79","Gm28154"
"80","Gm16070"
"81","Crispld1"
"82","Gm28153"
"83","Crisp4"
"84","Defb18"
"85","Defb41"
"86","Gm29006"
"87","Gm15825"
"88","Tfap2d"
"89","Tfap2b"
"90","Gm28340"
"91","Pkhd1"
"92","4930486I03Rik"
"93","Gm28653"
"94","Il17a"
"95","Il17f"
"96","Mcm3"
"97","Gm28065"
"98","6720483E21Rik"
"99","Paqr8"
"100","Efhc1"
"101","Tram2"
"102","Gm28287"
"103","Tmem14a"
"104","Gsta3"
"105","Gm28836"
"106","Khdc1a"
"107","Khdc1c"
"108","Khdc1b"
"109","Kcnq5"
"110","Gm26580"
"111","Rims1"
"112","4933415F23Rik"
"113","Gm27028"
"114","Gm29107"
"115","Ogfrl1"
"116","Gm28822"
"117","B3gat2"
"118","Smap1"
"119","Sdhaf4"
"120","Fam135a"
"121","Col9a1"
"122","Col19a1"
"123","Lmbrd1"
"124","Gm28237"
"125","Gm29414"
"126","Adgrb3"
"127","4931408C20Rik"
"128","Gm5524"
"129","Gm597"
"130","Gm9898"
"131","Phf3"
"132","Ptp4a1"
"133","Gm29669"
"134","Gm28644"
"135","4931428L18Rik"
"136","Gm29128"
"137","Lgsn"
"138","Pih1d3"
"139","Khdrbs2"
"140","Gm5415"
"141","Gm37724"
"142","Gm37591"
"143","Prim2"
"144","Rab23"
"145","Bag2"
"146","Zfp451"
"147","Bend6"
"148","Dst"
"149","Gm37958"
"150","Gm37233"
"151","Ccdc115"
"152","Gm28306"
"153","Imp4"
"154","Ptpn18"
"155","4930568A12Rik"
"156","Prss39"
"157","Cfc1"
"158","Prss40"
"159","1700101I19Rik"
"160","Amer3"
"161","Arhgef4"
"162","Gm38336"
"163","Fam168b"
"164","Plekhb2"
"165","Gm37068"
"166","Gm28415"
"167","1110002O04Rik"
"168","Gm37146"
"169","Gm33222"
"170","4930535G08Rik"
"171","Hs6st1"
"172","Gm37335"
"173","Gm33280"
"174","Uggt1"
"175","Neurl3"
"176","Arid5a"
"177","4930403P22Rik"
"178","Kansl3"
"179","Fer1l5"
"180","Lman2l"
"181","Cnnm4"
"182","Cnnm3"
"183","Gm38033"
"184","Ankrd23"
"185","Gm43543"
"186","Ankrd39"
"187","Sema4c"
"188","Fam178b"
"189","Cox5b"
"190","Actr1b"
"191","4933424G06Rik"
"192","Gm33533"
"193","Zap70"
"194","Tmem131"
"195","Vwa3b"
"196","Gm37020"
"197","Cnga3"
"198","Inpp4a"
"199","4930439A04Rik"
"200","Coa5"
"201","Unc50"
"202","Mgat4a"
"203","2010300C02Rik"
"204","4930556I23Rik"
"205","Tsga10"
"206","Gm26805"
"207","Lipt1"
"208","Mitd1"
"209","Mrpl30"
"210","Lyg2"
"211","Gm15457"
"212","Lyg1"
"213","Txndc9"
"214","Eif5b"
"215","Rev1"
"216","Gm5099"
"217","Aff3"
"218","Gm16150"
"219","Gm16151"
"220","Gm16152"
"221","Lonrf2"
"222","Chst10"
"223","Gm37707"
"224","Nms"
"225","Pdcl3"
"226","Gm37821"
"227","Npas2"
"228","Rpl31"
"229","Tbc1d8"
"230","Cnot11"
"231","Rnf149"
"232","Creg2"
"233","D930019O06Rik"
"234","Rfx8"
"235","Gm3646"
"236","1700066B17Rik"
"237","Map4k4"
"238","Il1r2"
"239","Gm16894"
"240","Il1r1"
"241","Il1rl2"
"242","Il1rl1"
"243","Il18r1"
"244","Il18rap"
"245","Gm35801"
"246","Slc9a4"
"247","Slc9a2"
"248","Gm37623"
"249","Gm37915"
"250","Mfsd9"
"251","Tmem182"
"252","4930448I06Rik"
"253","Gm28634"
"254","Gm29260"
"255","Gm9915"
"256","Gm29664"
"257","Gm28175"
"258","Gm28140"
"259","Pantr1"
"260","Pou3f3"
"261","Dalir"
"262","Mrps9"
"263","Gpr45"
"264","Tgfbrap1"
"265","Gm28782"
"266","8430432A02Rik"
"267","AI597479"
"268","Fhl2"
"269","Gm29040"
"270","Nck2"
"271","1500015O10Rik"
"272","Gm29155"
"273","Gm29157"
"274","Gm29156"
"275","Uxs1"
"276","Tpp2"
"277","Mettl21c"
"278","Gm8251"
"279","Tex30"
"280","Kdelc1"
"281","Bivm"
"282","Ercc5"
"283","Mettl21e"
"284","Gulp1"
"285","4930521E06Rik"
"286","Col3a1"
"287","Col5a2"
"288","Wdr75"
"289","Gm5269"
