type,Enzyme,gene,histone_modification_site
writer,Protein-arginine deiminase type-4,PADI4,"H3R2ci, H3R8ci, H3R17ci, H3R26ci, H2AR3ci, H4R3ci"
writer,Histone-arginine methyltransferase CARM1,CARM1,"H3R17me1, H3R17me2, H3R2me1, H3R26me1"
writer,Protein arginine N-methyltransferase 1,PRMT1,"H4R3me1, H4R3me2"
writer,Protein arginine N-methyltransferase 2,PRMT2,
writer,Protein arginine N-methyltransferase 5,PRMT5,"H3R8me2, H4R3me2"
writer,Protein arginine N-methyltransferase 6,PRMT6,"H3R2me2, H4R3me2, H2AR3me2"
writer,Protein arginine N-methyltransferase 7,PRMT7,
writer,Protein arginine N-methyltransferase 8,PRMT8,
writer,Bifunctional protein NCOAT,MGEA5,"H4K8ac, H3K14ac"
writer,Chromodomain Y-like protein,CDYL,
writer,Circadian locomoter output cycles protein kaput,CLOCK,H3K14ac
writer,CREB-binding protein,CREBBP,"H3K27ac, H3K56ac, H3K18ac, H4K5ac, H4K8ac, H4K12ac, H4K16ac"
writer,Elongator complex protein 3,ELP3,"H3K9ac, H3K18ac"
writer,General transcription factor 3C polypeptide 4,GTF3C4,H3K14ac
writer,Histone acetyltransferase KAT2A,KAT2A,"H3K9ac, H3K14ac, H4K5ac, H4K8ac, H4K12ac, H4K16ac, H4K91ac"
writer,Histone acetyltransferase KAT2B,KAT2B,
writer,Histone acetyltransferase KAT5,KAT5,"H4K5ac, H4K8ac, H4K12ac, H2AK5ac"
writer,Histone acetyltransferase MYST2,MYST2,"H4K5ac, H4K8ac, H4K12ac"
writer,Histone acetyltransferase MYST3,MYST3,H3K14ac
writer,Histone acetyltransferase MYST4,MYST4,
writer,Histone acetyltransferase p300,EP300,"H3K27ac, H3K56ac, H4K5ac, H4K8ac, H4K12ac, H4K16ac, H3K18ac"
writer,Histone acetyltransferase type B catalytic subunit,HAT1,"H4K5ac, H4K12ac, H2AK5ac"
writer,N-acetyltransferase 10,NAT10,
writer,Nuclear receptor coactivator 1,NCOA1,
writer,Nuclear receptor coactivator 3,NCOA3,
writer,Probable histone acetyltransferase MYST1,MYST1,H4K16ac
writer,Testis-specific chromodomain protein Y 1,CDY1B,
writer,Testis-specific chromodomain protein Y 1,CDY1,
writer,Biotin--protein ligase,HLCS,"H3K9bio, H3K18bio, H4K12bio, H4K8bio"
writer,Histone-lysine N-methyltransferase EZH1,EZH1,"H3K27me1, H3K27me2"
writer,Histone-lysine N-methyltransferase EZH2,EZH2,"H3K27me1, H3K27me2, H3K27me3, H1K25me1"
writer,Histone-lysine N-methyltransferase MLL,MLL,H3K4me3
writer,Histone-lysine N-methyltransferase MLL2,MLL2,
writer,Histone-lysine N-methyltransferase MLL3,MLL3,H3K4me3
writer,Histone-lysine N-methyltransferase MLL4,Unknown,H3K4me3
writer,Histone-lysine N-methyltransferase MLL5,MLL5,
writer,Histone-lysine N-methyltransferase NSD3,WHSC1L1,"H3K4me2, H3K27me2, H3K27me3"
writer,Histone-lysine N-methyltransferase PRDM9,PRDM9,H3K4me3
writer,Histone-lysine N-methyltransferase SETD1A,SETD1A,H3K4me3
writer,Histone-lysine N-methyltransferase SETD1B,SETD1B,H3K4me3
writer,Histone-lysine N-methyltransferase SETD2,SETD2,H3K36me3
writer,Histone-lysine N-methyltransferase SETD7,SETD7,H3K4me1
writer,Histone-lysine N-methyltransferase SETD8,SETD8,"H4K20me1, H4K20me2"
writer,Histone-lysine N-methyltransferase SETDB1,SETDB1,H3K9me3
writer,Histone-lysine N-methyltransferase SETDB2,SETDB2,H3K9me3
writer,Histone-lysine N-methyltransferase SETMAR,SETMAR,H3K36me2
writer,Histone-lysine N-methyltransferase SUV39H1,SUV39H1,H3K9me3
writer,Histone-lysine N-methyltransferase SUV39H2,SUV39H2,H3K9me3
writer,Histone-lysine N-methyltransferase SUV420H1,SUV420H1,"H4K20me2, H4K20me3"
writer,Histone-lysine N-methyltransferase SUV420H2,SUV420H2,"H4K20me2, H4K20me3"
writer,"Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific",NSD1,"H3K36me2, H4K20me2"
writer,"Histone-lysine N-methyltransferase, H3 lysine-79 specific",DOT1L,"H3K79me1, H3K79me2, H3K79me3"
writer,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3",EHMT2,"H3K9me1, H3K9me2, H3K27me1, H1K186me1, H1K25me1"
