Gene,fullName,Annotation
Hdx,highly divergent homeobox,S11vsW11
Adnp2,ADNP homeobox 2,S11vsS15
Alx1,ALX homeobox 1,S11vsS15
Arid3a,AT rich interactive domain 3A (B,S11vsS15
Csda,cold shock domain protein A,S11vsS15
Dbp,D site albumin promoter binding,S11vsS15
E2f3,E2F transcription factor 3,S11vsS15
E2f5,E2F transcription factor 5,S11vsS15
E2f6,E2F transcription factor 6,S11vsS15
Elk3,"ELK3, member of ETS oncogene",S11vsS15
Ets1,"E26 avian leukemia oncogene 1,",S11vsS15
Etv2,similar to ETS related protein 71,S11vsS15
Etv6,ets variant gene 6 (TEL oncogene,S11vsS15
Fli1,Friend leukemia integration 1,S11vsS15
Foxf1a,forkhead box F1a,S11vsS15
Foxp2,forkhead box P2,S11vsS15
Gata3,GATA binding protein 3,S11vsS15
Gatad1,GATA zinc finger domain contain,S11vsS15
Gatad2a,similar to Transcriptional repress,S11vsS15
Gli1,GLI-Kruppel family member GLI1,S11vsS15
Gzf1,GDNF-inducible zinc finger prote,S11vsS15
Hand1,heart and neural crest derivative,S11vsS15
Hdac1,similar to histone deacetylase HD,S11vsS15
Hmga1,"high mobility group AT-hook I, re",S11vsS15
Hoxa1,homeo box A1,S11vsS15
Hoxc9,homeo box C9,S11vsS15
Hoxd10,homeo box D10,S11vsS15
Hoxd9,homeo box D9,S11vsS15
Isl1,"ISL1 transcription factor, LIM/ho",S11vsS15
Jarid2,"jumonji, AT rich interactive dom",S11vsS15
Lbh,limb-bud and heart,S11vsS15
Lef1,lymphoid enhancer binding facto,S11vsS15
Meis2,Meis homeobox 2,S11vsS15
Mrpl28,mitochondrial ribosomal protein,S11vsS15
Myc,myelocytomatosis oncogene,S11vsS15
Mycn,v-myc myelocytomatosis viral re,S11vsS15
NeuroD4,neurogenic differentiation 4,S11vsS15
Nfe2l2,"nuclear factor, erythroid derived",S11vsS15
Nkx6-1,NK6 homeobox 1,S11vsS15
Nr1h5,"nuclear receptor subfamily 1, gro",S11vsS15
Nr2f1,"nuclear receptor subfamily 2, gro",S11vsS15
Nr2f2,similar to COUP-TFI; nuclear rece,S11vsS15
Pax3,paired box gene 3,S11vsS15
Pbx2,pre B-cell leukemia transcription,S11vsS15
Pitx2,paired-like homeodomain transc,S11vsS15
Plagl2,pleiomorphic adenoma gene-like,S11vsS15
Pou4f2,"POU domain, class 4, transcriptio",S11vsS15
Prrx1,paired related homeobox 1,S11vsS15
Rest,RE1-silencing transcription facto,S11vsS15
Rex2,hypothetical protein LOC100048,S11vsS15
Rsl1,regulator of sex limited protein 1,S11vsS15
Sall4,sal-like 4 (Drosophila),S11vsS15
Six1,sine oculis-related homeobox 1 h,S11vsS15
Six2,similar to Homeobox protein SIX,S11vsS15
Sox9,SRY-box containing gene 9,S11vsS15
Tbx20,T-box 20,S11vsS15
Tcf21,transcription factor 21,S11vsS15
Tcfap2a,"transcription factor AP-2, alpha",S11vsS15
Tcfap2b,transcription factor AP-2 beta,S11vsS15
