"","Chr","Start","ID","Gene","bp_cum"
"1",1,29554,"ENSG00000243485","MIR1302-2HG",1
"2",1,34554,"ENSG00000237613","FAM138A",2
"3",1,65419,"ENSG00000186092","OR4F5",3
"4",1,89295,"ENSG00000238009","AL627309.1",4
"5",1,89551,"ENSG00000239945","AL627309.3",5
"6",1,139790,"ENSG00000239906","AL627309.2",6
"7",1,160446,"ENSG00000241599","AL627309.4",7
"8",1,358857,"ENSG00000236601","AL732372.1",8
"9",1,450703,"ENSG00000284733","OR4F29",9
"10",1,587629,"ENSG00000235146","AC114498.1",10
"11",1,685679,"ENSG00000284662","OR4F16",11
"12",1,760911,"ENSG00000229905","AL669831.2",12
"13",1,778770,"ENSG00000237491","AL669831.5",13
"14",1,817371,"ENSG00000177757","FAM87B",14
"15",1,826206,"ENSG00000225880","LINC00115",15
"16",1,868071,"ENSG00000230368","FAM41C",16
"17",1,904834,"ENSG00000272438","AL645608.7",17
"18",1,911435,"ENSG00000230699","AL645608.3",18
"19",1,914171,"ENSG00000241180","AL645608.5",19
"20",1,916865,"ENSG00000223764","AL645608.1",20
"21",1,923928,"ENSG00000187634","SAMD11",21
"22",1,944204,"ENSG00000188976","NOC2L",22
"23",1,960587,"ENSG00000187961","KLHL17",23
"24",1,966497,"ENSG00000187583","PLEKHN1",24
"25",1,975204,"ENSG00000187642","PERM1",25
"26",1,995966,"ENSG00000272512","AL645608.8",26
"27",1,998962,"ENSG00000188290","HES4",27
"28",1,1001138,"ENSG00000187608","ISG15",28
"29",1,1011997,"ENSG00000224969","AL645608.2",29
"30",1,1020123,"ENSG00000188157","AGRN",30
"31",1,1062208,"ENSG00000273443","AL645608.9",31
"32",1,1070966,"ENSG00000237330","RNF223",32
"33",1,1081818,"ENSG00000131591","C1orf159",33
"34",1,1137017,"ENSG00000223823","LINC01342",34
"35",1,1169357,"ENSG00000272141","AL390719.2",35
"36",1,1173056,"ENSG00000205231","TTLL10-AS1",36
"37",1,1173884,"ENSG00000162571","TTLL10",37
"38",1,1203508,"ENSG00000186891","TNFRSF18",38
"39",1,1211326,"ENSG00000186827","TNFRSF4",39
"40",1,1216908,"ENSG00000078808","SDF4",40
"41",1,1232265,"ENSG00000176022","B3GALT6",41
"42",1,1242446,"ENSG00000184163","C1QTNF12",42
"43",1,1249777,"ENSG00000260179","AL162741.1",43
"44",1,1253909,"ENSG00000160087","UBE2J2",44
"45",1,1275223,"ENSG00000230415","LINC01786",45
"46",1,1280436,"ENSG00000162572","SCNN1D",46
"47",1,1292376,"ENSG00000131584","ACAP3",47
"48",1,1308567,"ENSG00000169972","PUSL1",48
"49",1,1311585,"ENSG00000127054","INTS11",49
"50",1,1324756,"ENSG00000224051","CPTP",50
"51",1,1331314,"ENSG00000169962","TAS1R3",51
"52",1,1335276,"ENSG00000107404","DVL1",52
"53",1,1352689,"ENSG00000162576","MXRA8",53
"54",1,1373730,"ENSG00000175756","AURKAIP1",54
"55",1,1385711,"ENSG00000221978","CCNL2",55
"56",1,1401908,"ENSG00000242485","MRPL20",56
"57",1,1409096,"ENSG00000272455","AL391244.3",57
"58",1,1418420,"ENSG00000235098","ANKRD65",58
"59",1,1420245,"ENSG00000225905","AL391244.2",59
"60",1,1426128,"ENSG00000205116","TMEM88B",60
"61",1,1430539,"ENSG00000225285","LINC01770",61
"62",1,1434861,"ENSG00000179403","VWA1",62
"63",1,1449689,"ENSG00000215915","ATAD3C",63
"64",1,1471769,"ENSG00000160072","ATAD3B",64
"65",1,1512151,"ENSG00000197785","ATAD3A",65
"66",1,1535174,"ENSG00000205090","TMEM240",66
"67",1,1541673,"ENSG00000160075","SSU72",67
"68",1,1574975,"ENSG00000215014","AL645728.1",68
"69",1,1598012,"ENSG00000228594","FNDC10",69
"70",1,1613758,"ENSG00000272106","AL691432.2",70
"71",1,1615415,"ENSG00000197530","MIB2",71
"72",1,1632095,"ENSG00000189409","MMP23B",72
"73",1,1635227,"ENSG00000248333","CDK11B",73
"74",1,1659325,"ENSG00000272004","FO704657.1",74
"75",1,1659529,"ENSG00000189339","SLC35E2B",75
"76",1,1702730,"ENSG00000008128","CDK11A",76
"77",1,1724838,"ENSG00000215790","SLC35E2A",77
"78",1,1751232,"ENSG00000008130","NADK",78
"79",1,1785285,"ENSG00000078369","GNB1",79
"80",1,1891471,"ENSG00000231050","AL109917.1",80
"81",1,1914827,"ENSG00000169885","CALML6",81
"82",1,1917590,"ENSG00000178821","TMEM52",82
"83",1,1921951,"ENSG00000142609","CFAP74",83
"84",1,2013213,"ENSG00000233542","AL391845.2",84
"85",1,2019298,"ENSG00000187730","GABRD",85
"86",1,2049203,"ENSG00000226969","AL391845.1",86
"87",1,2050470,"ENSG00000067606","PRKCZ",87
"88",1,2141084,"ENSG00000271806","AL590822.2",88
"89",1,2181794,"ENSG00000182873","PRKCZ-AS1",89
"90",1,2184461,"ENSG00000162585","FAAP20",90
"91",1,2212523,"ENSG00000234396","AL590822.1",91
"92",1,2228695,"ENSG00000157933","SKI",92
"93",1,2321253,"ENSG00000116151","MORN1",93
"94",1,2391775,"ENSG00000157916","RER1",94
"95",1,2403964,"ENSG00000157911","PEX10",95
"96",1,2425980,"ENSG00000149527","PLCH2",96
"97",1,2492300,"ENSG00000224387","AL139246.1",97
"98",1,2493437,"ENSG00000229393","AL139246.4",98
"99",1,2508533,"ENSG00000157881","PANK4",99
"100",1,2528745,"ENSG00000197921","HES5",100
"101",1,2530064,"ENSG00000272449","AL139246.5",101
"102",1,2549920,"ENSG00000238164","TNFRSF14-AS1",102
"103",1,2555639,"ENSG00000157873","TNFRSF14",103
"104",1,2581560,"ENSG00000228037","AL139246.3",104
"105",1,2586491,"ENSG00000157870","FAM213B",105
"106",1,2590639,"ENSG00000142606","MMEL1",106
"107",1,2632568,"ENSG00000237058","AL831784.1",107
"108",1,2635976,"ENSG00000215912","TTC34",108
"109",1,2773603,"ENSG00000283259","AC242022.1",109
"110",1,2811850,"ENSG00000233234","AL592464.2",110
"111",1,2814432,"ENSG00000231630","AL592464.1",111
"112",1,2960658,"ENSG00000284745","AL589702.1",112
"113",1,3021483,"ENSG00000169717","ACTRT2",113
"114",1,3059615,"ENSG00000177133","LINC00982",114
"115",1,3069168,"ENSG00000142611","PRDM16",115
"116",1,3132927,"ENSG00000226286","AL008733.1",116
"117",1,3306636,"ENSG00000272235","AL590438.1",117
"118",1,3454426,"ENSG00000130762","ARHGEF16",118
"119",1,3487246,"ENSG00000272088","AL512413.1",119
"120",1,3489920,"ENSG00000162591","MEGF6",120
"121",1,3623190,"ENSG00000238260","AL513320.1",121
"122",1,3625002,"ENSG00000158109","TPRG1L",122
"123",1,3630767,"ENSG00000116213","WRAP73",123
"124",1,3652520,"ENSG00000078900","TP73",124
"125",1,3658938,"ENSG00000227589","AL136528.1",125
"126",1,3712200,"ENSG00000235131","AL136528.2",126
"127",1,3746460,"ENSG00000162592","CCDC27",127
"128",1,3772761,"ENSG00000235169","SMIM1",128
