HGNC ID	Approved symbol	RefSeq IDs	Ensembl gene ID
HGNC:5	A1BG	NM_130786	ENSG00000121410
HGNC:37133	A1BG-AS1	NR_015380	ENSG00000268895
HGNC:24086	A1CF	NM_014576	ENSG00000148584
HGNC:6	A1S9T		
HGNC:7	A2M	NM_000014	ENSG00000175899
HGNC:27057	A2M-AS1	NR_026971	ENSG00000245105
HGNC:23336	A2ML1	NM_144670	ENSG00000166535
HGNC:41022	A2ML1-AS1		ENSG00000256661
HGNC:41523	A2ML1-AS2		ENSG00000256904
HGNC:8	A2MP1	NG_001067	ENSG00000256069
HGNC:9	A2MR		
HGNC:10	A2MRAP		
HGNC:30005	A3GALT2	NM_001080438	ENSG00000184389
HGNC:18149	A4GALT	NM_017436	ENSG00000128274
HGNC:17968	A4GNT	NM_016161	ENSG00000118017
HGNC:1	A12M1		
HGNC:2	A12M2		
HGNC:3	A12M3		
HGNC:4	A12M4		
HGNC:11	AA		
HGNC:13666	AAAS		ENSG00000094914
HGNC:12	AABT		
HGNC:13	AAC1		
HGNC:14	AAC2		
HGNC:21298	AACS	NM_023928	ENSG00000081760
HGNC:18226	AACSP1	NR_024035	ENSG00000250420
HGNC:13792	AACT		
HGNC:17	AADAC	NM_001086	ENSG00000114771
HGNC:24427	AADACL2	NM_207365	ENSG00000197953
HGNC:50301	AADACL2-AS1		ENSG00000242908
HGNC:32037	AADACL3	NM_001103170	ENSG00000188984
HGNC:32038	AADACL4	NM_001013630	ENSG00000204518
HGNC:50305	AADACP1		ENSG00000240602
HGNC:17929	AADAT	NM_016228	ENSG00000109576
HGNC:25662	AAGAB	NM_024666	ENSG00000103591
HGNC:19679	AAK1	NM_014911	ENSG00000115977
HGNC:30205	AAMDC	NM_024684	ENSG00000087884
HGNC:18	AAMP	NM_001087	ENSG00000127837
HGNC:19	AANAT	NM_001088	ENSG00000129673
HGNC:15886	AAR2	NM_015511	ENSG00000131043
HGNC:33842	AARD	NM_001025357	ENSG00000205002
HGNC:20	AARS1	NM_001605	ENSG00000090861
HGNC:49894	AARS1P1		ENSG00000249038
HGNC:21022	AARS2	NM_020745	ENSG00000124608
HGNC:28417	AARSD1	NM_001261434	ENSG00000266967
HGNC:54994	AARSD1P1		ENSG00000234969
HGNC:23993	AASDH	NM_181806	ENSG00000157426
HGNC:14235	AASDHPPT	NM_015423	ENSG00000149313
HGNC:17366	AASS	NM_005763	ENSG00000008311
HGNC:51526	AATBC	NR_026961	ENSG00000215458
HGNC:19235	AATF	NM_012138	ENSG00000275700
HGNC:21	AATK	NM_004920	ENSG00000181409
HGNC:22	AAVS1		
HGNC:49667	ABALON	NR_131907	ENSG00000281376
HGNC:23	ABAT	NM_020686	ENSG00000183044
HGNC:24	ABC1		
HGNC:25	ABC2		
HGNC:26	ABC3		
HGNC:28	ABC7		
HGNC:27	ABC50		
HGNC:29	ABCA1	NM_005502	ENSG00000165029
HGNC:32	ABCA2	NM_001606	ENSG00000107331
HGNC:33	ABCA3	NM_001089	ENSG00000167972
HGNC:55707	ABCA3P1	NG_022511	ENSG00000257408
HGNC:34	ABCA4	NM_000350	ENSG00000198691
HGNC:35	ABCA5	NM_018672	ENSG00000154265
HGNC:36	ABCA6	NM_080284	ENSG00000154262
HGNC:37	ABCA7	NM_019112	ENSG00000064687
HGNC:38	ABCA8	NM_007168	ENSG00000141338
HGNC:39	ABCA9	NM_172386	ENSG00000154258
HGNC:39983	ABCA9-AS1		ENSG00000231749
HGNC:30	ABCA10	NM_080282	ENSG00000154263
HGNC:31	ABCA11P	NR_002451.2	ENSG00000251595
HGNC:14637	ABCA12	NM_173076	ENSG00000144452
HGNC:14638	ABCA13	NM_152701	ENSG00000179869
HGNC:34405	ABCA15P	NR_026675	ENSG00000189149
HGNC:32972	ABCA17P	NR_003574	ENSG00000238098
HGNC:40	ABCB1	NM_000927	ENSG00000085563
HGNC:11563	ABCB2		
HGNC:11564	ABCB3		
HGNC:45	ABCB4	NM_000443	ENSG00000005471
HGNC:46	ABCB5	NM_178559	ENSG00000004846
